by,descendants,id,kids,score,time,title,type,url
WithinReason,6,46462702,[46463053],51,1767343241,Standard Ebooks: Public Domain Day 2026 in Literature,story,https://standardebooks.org/blog/public-domain-day-2026
apetresc,50,46460440,"[46461644, 46460911, 46462236, 46462465, 46462484, 46460800, 46463115, 46462028, 46461092, 46462133, 46461835, 46460856, 46461401, 46461363]",271,1767318136,Happy Public Domain Day 2026,story,https://publicdomainreview.org/blog/2026/01/public-domain-day-2026/
xpe,116,46460319,"[46461421, 46461061, 46462613, 46461902, 46461160, 46460933, 46462991, 46461115, 46461792, 46462697, 46461181, 46463199, 46462072, 46462919, 46461224, 46461681, 46462850, 46462083, 46461245, 46462788, 46461105, 46461514, 46462469, 46463078, 46461634, 46461194, 46461542, 46460330, 46461584, 46461790, 46461643, 46463187]",344,1767317091,Why users cannot create Issues directly,story,https://github.com/ghostty-org/ghostty/issues/3558
weird_trousers,17,46462719,"[46463211, 46463027, 46463247, 46463088, 46463337, 46463185, 46463066, 46462865]",32,1767343354,"Going immutable on macOS, using Nix-Darwin",story,https://carette.xyz/posts/going_immutable_macos/
beardyw,20,46462592,"[46463335, 46462765, 46462938, 46463099, 46463035, 46462863, 46462767, 46462907, 46462599, 46463013]",24,1767341781,"Round the tree, yes, but not round the squirrel",story,https://www.futilitycloset.com/2026/01/02/round-and-round/
kibitan,2,46393929,"[46463000, 46463057]",26,1766768829,"Matz 2/2: The trajectory of Ruby's growth, Open-Source Software today etc.",story,https://en.kaigaiiju.ch/episodes/matz2
g0xA52A2A,287,46457784,"[46458550, 46460232, 46460020, 46458691, 46461765, 46463273, 46461360, 46462549, 46459852, 46458466, 46463117, 46458333, 46463098, 46458637, 46460777, 46458854, 46459755, 46458721, 46462784, 46459565, 46461364, 46461696, 46458084, 46459022, 46458508, 46461940, 46458407, 46463294, 46458275, 46458639, 46460019, 46458156, 46459448, 46458211, 46460593, 46458186, 46460450, 46458572, 46463067, 46460541, 46460976, 46459605, 46460347, 46458289, 46459063, 46459023, 46462492, 46461109, 46461608, 46459364, 46457793, 46459238, 46459839, 46458476, 46458924, 46459896, 46459142, 46459151, 46459720, 46459300]",543,1767299806,A website to destroy all websites,story,https://henry.codes/writing/a-website-to-destroy-all-websites/
todsacerdoti,0,46462108,,32,1767336512,"FreeBSD: Home NAS, part 1 – configuring ZFS mirror (RAID1)",story,https://rtfm.co.ua/en/freebsd-home-nas-part-1-configuring-zfs-mirror-raid1/
sebg,51,46455872,"[46457632, 46457584, 46456449, 46456353, 46459534, 46457164, 46457567, 46456292, 46462161, 46459653, 46457455, 46457719, 46456372, 46458308, 46457909, 46456380, 46457092, 46457266, 46456683, 46457508]",434,1767287881,Cameras and Lenses (2020),story,https://ciechanow.ski/cameras-and-lenses/
zX41ZdbW,19,46460676,"[46461405, 46461221, 46461199, 46463198, 46462981, 46462792, 46462538, 46462933, 46462397, 46461805, 46462536, 46461335, 46461513, 46462987]",105,1767320517,Marmot – A distributed SQLite server with MySQL wire compatible interface,story,https://github.com/maxpert/marmot
